,Code,Financial Year,Annual Revenue,Annual Net,Annual EPS
119,7090,31-Dec-17,"620,264","44,459",37.95
120,7090,31-Dec-16,"581,269","34,954",29.85
121,7090,31-Dec-15,"526,859","34,236",29.23
122,7090,31-Dec-14,"499,237","33,977",30.92
123,7090,31-Dec-13,"418,451","30,021",32.03
124,7090,31-Dec-12,"398,604","29,016",30.95
125,7090,31-Dec-11,"366,002","28,075",29.96
126,4952,31-Dec-18,"31,848","12,319",5.61
127,4952,31-Dec-17,"29,920","17,418",7.91
128,4952,31-Dec-16,"21,143",830,0.83
129,4952,31-Dec-15,"22,695","12,306",12.3
130,4952,31-Dec-14,"14,469","3,887",3.89
131,4952,31-Dec-13,"13,822","5,961",5.96
132,4952,31-Dec-12,"17,938","10,323",10.32
133,4952,31-Dec-11,"17,547","10,102",10.1
134,5099,31-Dec-18,"10,610,990","2,024,706",60.6
135,5099,31-Dec-17,"9,710,158","1,640,305",49.1
136,5099,31-Dec-16,"6,946,289","2,039,123",73.2
137,5099,31-Dec-15,"6,305,089","540,824",19.4
138,5099,31-Dec-14,"5,408,537","83,762",3
139,5099,31-Dec-13,"5,181,335","443,980",16
140,5099,31-Dec-12,"4,995,850","1,875,758",67.5
141,5099,31-Dec-11,"4,472,722","564,147",20.4
142,5014,31-Dec-18,"4,851,702","727,303",38.64
143,5014,31-Dec-17,"4,652,338","236,488",9.09
144,5014,31-Dec-16,"4,172,768","70,388",-0.8
145,5014,31-Dec-15,"3,871,019","38,293",-6.63
146,5014,31-Dec-14,"3,343,722","748,522",55.98
147,5014,31-Dec-13,"4,099,160","389,096",31.86
148,5014,31-Dec-12,"3,548,011","394,458",33.33
149,5014,31-Dec-11,"2,754,829","401,114",36.47
150,2682,31-Dec-18,"4,272","-4,171",-3.03
151,2682,31-Dec-17,"19,741","6,273",4.38
152,2682,31-Dec-16,"57,836","4,635",3.7
153,2682,31-Dec-15,"69,759","-6,502",-5.11
154,2682,31-Dec-14,"80,326",363,0.32
155,2682,31-Dec-13,"92,454","-1,345",-1.18
156,2682,31-Dec-12,"153,364","-7,898",-6.94
157,2682,31-Dec-11,"144,850","-9,409",-8.27
158,2658,31-Mar-19,"328,249","44,757",73.62
159,2658,31-Mar-18,"436,286","56,261",92.53
160,2658,31-Mar-17,"419,917","187,462",308.34
161,2658,31-Mar-16,"400,201","40,787",67.09
162,2658,31-Mar-15,"340,376","29,733",48.9
163,2658,31-Mar-14,"345,351","28,041",46.12
164,2658,31-Mar-13,"332,908","19,404",31.91
165,2658,31-Mar-12,"324,652","25,622",42.14
166,7609,30-Nov-18,"382,350","24,577",8.2
167,7609,30-Nov-17,"370,881","12,977",4.26
168,7609,30-Nov-16,"395,298","16,504",15.44
169,7609,30-Nov-15,"426,653","21,054",29.85
170,7609,30-Nov-14,"412,419","16,845",23.74
171,7609,30-Nov-13,"391,854","19,083",27.57
172,7609,30-Nov-12,"379,190","17,737",25.69
173,7609,30-Nov-11,"362,551","18,177",26.19
174,5115,31-Dec-18,"93,241","-174,843",-18.8
175,5115,31-Dec-17,"159,850","-147,179",-15.9
176,5115,31-Dec-16,"247,463","-131,404",-14.2
177,5115,31-Dec-15,"350,222","44,807",5.6
178,5115,31-Dec-14,"396,729","61,321",7.2
179,5115,31-Dec-13,"432,881","79,966",10
180,5115,31-Dec-12,"501,994","60,040",7.6
181,5115,31-Dec-11,"308,123","12,231",1.6
182,5116,31-Dec-18,"102,649","91,375",12.54
183,5116,31-Dec-17,"99,648","84,644",11.62
184,5116,31-Dec-16,"103,839","63,440",8.7
185,5116,31-Dec-15,"110,945","67,446",9.63
186,5116,31-Dec-14,"108,644","71,208",10.22
187,5116,31-Dec-13,"107,419","73,310",10.53
188,5116,31-Dec-12,"103,397","62,902",9.23
189,5116,31-Dec-11,"84,466","85,116",13.84
190,2674,31-Dec-18,"385,703","3,437",2.56
191,2674,31-Dec-17,"285,105","10,129",7.28
192,2674,31-Mar-17,"317,132","11,688",8.78
193,2674,31-Mar-16,"287,408","2,570",1.19
194,2674,31-Mar-15,"279,712","-1,638",-1.12
195,2674,31-Mar-14,"259,145","-1,807",-1.37
196,2674,31-Mar-13,"287,299","-2,929",-2.22
197,2674,31-Mar-12,"274,855","1,686",1.28
198,1163,31-Dec-18,"5,181,929","377,021",168.39
199,1163,31-Dec-17,"4,800,990","287,962",165.57
200,1163,31-Dec-16,"4,678,894","312,131",184.02
201,1163,31-Dec-15,"4,519,497","308,871",184.22
202,1163,31-Dec-14,"4,376,184","295,902",182.96
203,1163,31-Dec-13,"3,649,389","237,921",149.48
204,1163,31-Dec-12,"3,147,601","207,605",132.54
205,1163,31-Dec-11,"2,751,804","131,923",85.68
206,5269,31-Dec-18,"82,151","40,302",6.94
207,5269,31-Dec-17,"80,033","40,606",7
208,5269,31-Dec-16,"76,135","46,668",8.05
209,5269,31-Dec-15,"19,409","14,681",2.54
210,1015,31-Mar-19,"6,785,873","1,045,622",34.76
211,1015,31-Mar-18,"8,576,739","1,132,131",37.65
212,1015,31-Mar-17,"8,285,751","1,324,607",44.06
213,1015,31-Mar-16,"8,416,039","1,302,206",43.35
214,1015,31-Mar-15,"9,142,521","1,918,630",63.83
215,1015,31-Mar-14,"9,201,490","1,795,882",59.74
216,1015,31-Mar-13,"8,095,423","1,645,146",54.86
217,1015,31-Mar-12,"7,998,560","1,510,813",50.52
218,159,31-Dec-18,"13,371","-3,138",-1.31
219,159,31-Dec-17,"15,382","2,286",0.96
220,159,31-Dec-16,"9,585","-10,037",-4.19
221,159,31-Dec-15,"11,127","-105,568",-366.35
222,159,31-Dec-14,"20,894","-20,352",-1.56
223,159,31-Dec-13,"34,829","5,164",1.29
224,159,31-Dec-12,"44,766","11,756",4.99
225,159,31-Dec-11,"36,548","15,240",6.77
226,5120,31-Mar-19,"87,318","21,040",3.07
227,5120,31-Mar-18,"114,098","11,332",1.66
228,5120,31-Mar-17,"111,539","22,240",3.25
229,5120,31-Mar-16,"99,795","68,374",9.96
230,5120,31-Mar-15,"107,252","38,339",5.59
231,5120,31-Mar-14,"112,793","63,069",9.2
232,5120,31-Mar-13,"109,784","51,798",8.72
233,5120,31-Mar-12,"97,979","52,191",12.17
234,1007,31-Mar-19,"97,719","9,759",1.65
235,1007,31-Mar-18,"134,085","137,353",23.16
236,1007,31-Mar-17,"188,224","13,204",2.24
237,1007,31-Mar-16,"168,244","79,345",13.45
238,1007,31-Mar-15,"173,606","35,500",6.07
239,1007,31-Mar-14,"170,193","171,301",29.63
240,1007,31-Mar-13,"174,048","96,796",16.88
241,1007,31-Mar-12,"256,832","103,301",18.03
242,7051,30-Jun-19,113,-535,-1.07
243,7051,30-Jun-18,"15,960","-5,238",-10.47
244,7051,30-Jun-17,"19,755","-2,461",-4.93
245,7051,30-Jun-16,"31,799","-2,619",-5.23
246,7051,30-Jun-15,"40,168","-3,706",-7.61
247,7051,30-Jun-14,"45,344",-175,-0.34
248,7051,30-Jun-13,"47,269",-647,-1.62
249,7051,30-Jun-12,"49,228",344,0.68
250,7031,30-Nov-18,"50,926","1,071",2.16
251,7031,30-Nov-17,"33,427","-3,182",-6.45
252,7031,30-Nov-16,"47,417",239,0.49
253,7031,30-Nov-15,"56,663",820,1.67
254,7031,30-Nov-14,"32,388",652,1.32
255,7031,30-Nov-13,"40,444","1,078",2.2
256,7031,30-Nov-12,"55,566","4,147",8.41
257,7031,30-Nov-11,"61,368","3,622",7.35
258,5959,31-Dec-18,"119,159","75,463",20.68
259,5959,31-Dec-17,"160,709","24,323",6.67
260,5959,31-Dec-16,"115,329","20,069",5.5
261,5959,31-Dec-15,"121,418","23,851",6.53
262,5959,31-Dec-14,"153,712","34,948",9.57
263,5959,31-Dec-13,"141,791","32,079",8.78
264,5959,31-Dec-12,"140,197","27,133",7.42
265,5959,31-Dec-11,"139,740","25,741",7.06
266,6351,31-Dec-18,"972,272","54,510",33.16
267,6351,31-Dec-17,"984,214","52,644",32.02
268,6351,31-Dec-16,"1,087,501","54,649",33.25
269,6351,31-Dec-15,"1,019,924","63,834",38.89
270,6351,31-Dec-14,"855,804","99,950",60.74
271,6351,31-Dec-13,"834,222","109,082",66.32
