,Code,EPS,DPS,NTA,Revenue,Profit/Loss,NQuarter,Quarter Date,Financial Date,Announced,Net
0,12,1.87,0,0.6679,"120,354k","9,198k",4,31/12/2018,31/12/2018,20/2/2019,17.30%
1,12,1.71,2,0.6692,"113,784k","8,398k",3,30/9/2018,31/12/2018,26/11/2018,23.80%
2,12,1.07,0,0.6521,"101,361k","5,285k",2,30/6/2018,31/12/2018,7/8/2018,42.40%
3,12,1.27,0,0.6414,"102,478k","6,238k",1,31/3/2018,31/12/2018,7/5/2018,39.60%
4,12,2.85,0,0.6287,"109,423k","14,026k",4,31/12/2017,31/12/2017,20/2/2018,8.30%
5,12,1.65,1.8,0.6241,"96,542k","8,125k",3,30/9/2017,31/12/2017,6/11/2017,19.90%
6,12,2.12,0,0.6915,"102,338k","9,174k",2,30/6/2017,31/12/2017,17/8/2017,0.40%
7,12,2.62,0,0.7361,"103,182k","10,323k",1,31/3/2017,31/12/2017,11/5/2017,54.30%
8,12,3.29,0,70.99,"95,037k","12,953k",4,31/12/2016,31/12/2016,23/2/2017,322.10%
9,12,2.58,1.8,0.6942,"88,226k","10,138k",3,30/9/2016,31/12/2016,15/11/2016,55.90%
10,12,2.32,0,0.6679,"96,887k","9,138k",2,30/6/2016,31/12/2016,19/8/2016,30.60%
11,12,1.7,0,0.6446,"107,568k","6,692k",1,31/3/2016,31/12/2016,5/5/2016,90.40%
12,12,0.78,0,0.6305,"93,924k","3,071k",4,31/12/2015,31/12/2015,24/2/2016,35.10%
13,12,1.65,1.4,0.6386,"91,134k","6,503k",3,30/9/2015,31/12/2015,24/11/2015,38.90%
14,12,1.78,0,0.6163,"92,749k","6,995k",2,30/6/2015,31/12/2015,14/8/2015,34.40%
15,12,0.89,0,0.5985,"74,593k","3,515k",1,31/3/2015,31/12/2015,5/5/2015,2.40%
16,12,1.18,0,0.5888,"77,299k","4,646k",4,31/12/2014,31/12/2014,16/2/2015,38.20%
17,12,1.19,0,0.5903,"72,963k","4,681k",3,30/9/2014,31/12/2014,14/11/2014,163.40%
18,12,1.32,0,0.5779,"84,510k","5,203k",2,30/6/2014,31/12/2014,14/8/2014,112.60%
19,12,0.91,0,0.5649,"76,638k","3,600k",1,31/3/2014,31/12/2014,29/5/2014,31.80%
20,12,0.82,0,0.5561,"77,807k","3,227k",4,31/12/2013,31/12/2013,19/2/2014,28.30%
21,12,0.45,0,0.5595,"74,769k","1,777k",3,30/9/2013,31/12/2013,20/11/2013,60.30%
22,12,0.62,0,0.5578,"76,507k","2,447k",2,30/6/2013,31/12/2013,23/8/2013,31.60%
23,12,0.69,0,0.5504,"73,827k","2,731k",1,31/3/2013,31/12/2013,26/4/2013,30.70%
24,12,1.29,0,0.5432,"82,885k","5,073k",4,31/12/2012,31/12/2012,28/2/2013,6.90%
25,12,1.25,0,0.5423,"80,217k","4,908k",3,30/9/2012,31/12/2012,27/11/2012,71.70%
26,12,0.98,0,0.5298,"71,887k","3,868k",2,30/6/2012,31/12/2012,15/8/2012,10%
27,12,0.94,0,0.52,"71,439k","3,683k",1,31/3/2012,31/12/2012,25/5/2012,7.50%
28,12,1.21,0,0.5106,"65,166k","4,745k",4,31/12/2011,31/12/2011,27/2/2012,29.40%
29,12,0.73,0,0.5106,"64,940k","2,859k",3,30/9/2011,31/12/2011,16/11/2011,7.60%
30,12,1.09,0,0.5033,"72,987k","4,299k",2,30/6/2011,31/12/2011,24/8/2011,7%
31,12,1.01,0,0.4924,"65,713k","3,983k",1,31/3/2011,31/12/2011,19/5/2011,33%
32,12,0.93,0,0.4823,"64,818k","3,668k",4,31/12/2010,31/12/2010,25/2/2011,18.80%
33,12,0.68,1.2,0.485,"65,740k","2,656k",3,30/9/2010,31/12/2010,29/11/2010,55%
34,12,1.25,0,0.3972,"57,056k","4,623k",2,30/6/2010,31/12/2010,17/8/2010,15.80%
35,12,1.61,0,0.3847,"61,326k","5,947k",1,31/3/2010,31/12/2010,25/5/2010,178.30%
36,12,1.32,0,0.3686,"55,197k","4,515k",4,31/12/2009,31/12/2009,23/2/2010,85.10%
37,12,1.91,0,0.2925,"45,136k","5,898k",3,30/9/2009,31/12/2009,22/10/2009,96.80%
38,12,1.78,0,0.2733,"45,175k","5,488k",2,30/6/2009,31/12/2009,13/8/2009,17.60%
39,12,0.69,0,0.2555,"33,074k","2,137k",1,31/3/2009,31/12/2009,28/5/2009,9.10%
40,12,0.79,0,0.2586,"32,177k","2,441k",4,31/12/2008,31/12/2008,25/2/2009,50.70%
41,12,1.16,0,0.2496,"38,430k","2,997k",3,30/9/2008,31/12/2008,19/11/2008,1.20%
42,12,2.23,0,0.2399,"44,098k","4,668k",2,30/6/2008,31/12/2008,1/8/2008,43.80%
43,12,1.06,0,0.362,"37,547k","2,031k",1,31/3/2008,31/12/2008,14/5/2008,11.10%
44,12,0.87,1.2,0.3627,"33,639k","1,626k",4,31/12/2007,31/12/2007,19/2/2008,53.20%
45,12,1.61,0,0.3462,"27,723k","2,962k",3,30/9/2007,31/12/2007,14/11/2007,10.60%
46,12,1.82,0,0.33,"23,296k","3,246k",2,30/6/2007,31/12/2007,31/7/2007,70%
47,12,1.31,0,0.3107,"22,460k","2,284k",1,31/3/2007,31/12/2007,29/5/2007,302.80%
48,12,1.97,1.2,0.3095,"21,437k","3,455k",4,31/12/2006,31/12/2006,27/2/2007,140.90%
49,12,1.53,0,0.2898,"22,854k","2,677k",3,30/9/2006,31/12/2006,21/11/2006,102.80%
50,12,1.09,0,0.2824,"21,050k","1,909k",2,30/6/2006,31/12/2006,9/8/2006,30.90%
51,12,0.32,0,0.2715,"18,675k",567k,1,31/3/2006,31/12/2006,24/5/2006,25.20%
52,12,0.68,0,0.2422,"19,022k","1,185k",4,31/12/2005,31/12/2005,24/2/2006,7.70%
53,12,0.82,0,0.2614,"19,313k","1,438k",3,30/9/2005,31/12/2005,31/10/2005,21.80%
54,12,1.04,0,0.317,"17,164k","1,458k",2,30/6/2005,31/12/2005,1/8/2005,12.80%
55,12,0.54,0,0.3066,"15,323k",758k,1,31/3/2005,31/12/2005,15/6/2005,13.10%
56,12,0.73,0,0.2681,"14,921k","1,021k",4,31/12/2004,31/12/2004,28/2/2005,18.60%
57,12,0.84,0,0.2608,"16,303k","1,181k",3,30/9/2004,31/12/2004,26/11/2004,96.50%
58,12,0.92,0,0.2523,"16,139k","1,292k",2,30/6/2004,31/12/2004,10/8/2004,96.70%
59,12,0.62,0,0.2431,"13,231k",872k,1,31/3/2004,31/12/2004,22/4/2004,74.40%
60,12,0.62,0,0.2369,"11,452k",861k,4,31/12/2003,31/12/2003,27/2/2004,93%
61,12,0.43,0,0.2315,"10,544k",601k,3,30/9/2003,31/12/2003,27/11/2003,10.50%
62,12,0.47,0,0.2273,"9,773k",657k,2,30/6/2003,31/12/2003,23/9/2003,23.50%
63,12,0.36,0,0.2226,"8,732k",500k,1,31/3/2003,31/12/2003,28/4/2003,0%
64,12,0.34,0,0.2376,"8,721k",471k,4,31/12/2002,31/12/2002,26/2/2003,0%
65,12,0.39,0,0.23,"8,991k",544k,3,30/9/2002,31/12/2002,27/11/2002,0%
66,7054,0.1,0,0.2998,"2,673k",692k,4,31/12/2018,31/12/2018,28/2/2019,169.30%
67,7054,-0.08,0,0.311,"6,948k",-519k,3,30/9/2018,31/12/2018,29/11/2018,331.70%
68,7054,-0.39,0,0.3118,"8,158k","-2,601k",2,30/6/2018,31/12/2018,29/8/2018,467.90%
69,7054,-0.44,0,0.3158,"7,949k","-2,923k",1,31/3/2018,31/12/2018,30/5/2018,75%
70,7054,0.04,0,0.3119,"8,631k",257k,4,31/12/2017,31/12/2017,27/2/2018,64.30%
71,7054,0.03,0,0.3067,"8,025k",224k,3,30/9/2017,31/12/2017,24/11/2017,127.30%
72,7054,-0.07,0,0.3064,"8,336k",-458k,2,30/6/2017,31/12/2017,29/8/2017,119.30%
73,7054,-0.25,0,0.3071,"6,497k","-1,670k",1,31/3/2017,31/12/2017,25/5/2017,26.30%
74,7054,0.11,0,0.3096,"6,363k",720k,4,31/12/2016,31/12/2016,24/2/2017,157.10%
75,7054,-0.12,0,0.3068,"7,449k",-820k,3,30/9/2016,31/12/2016,23/11/2016,10.50%
76,7054,0.36,0,0.3079,"6,412k","2,371k",2,30/6/2016,31/12/2016,18/8/2016,318.10%
77,7054,-1.89,0,1.6786,"5,589k","-2,266k",1,31/3/2016,31/12/2016,19/5/2016,3.80%
78,7054,-1.02,0,1.6978,"5,875k","-1,221k",4,31/12/2015,31/12/2015,26/2/2016,64.30%
79,7054,-0.76,0,1.6786,"7,846k",-916k,3,30/9/2015,31/12/2015,26/11/2015,171.50%
80,7054,-0.91,0,1.6862,"6,338k","-1,087k",2,30/6/2015,31/12/2015,27/8/2015,231.40%
81,7054,-1.82,0,1.6953,"4,524k","-2,184k",1,31/3/2015,31/12/2015,22/5/2015,468.90%
82,7054,-2.9,0,1.7209,"5,490k","-3,477k",4,31/12/2014,31/12/2014,27/2/2015,315.60%
83,7054,1.07,0,1.31,"7,735k","1,282k",3,30/9/2014,31/12/2014,20/11/2014,49.90%
84,7054,0.69,2,1.325,"8,146k",827k,2,30/6/2014,31/12/2014,26/8/2014,248.50%
85,7054,0.49,0,1.3124,"7,478k",592k,1,31/3/2014,31/12/2014,27/5/2014,91%
86,7054,1.34,0,1.2762,"9,044k","1,613k",4,31/12/2013,31/12/2013,25/2/2014,191.20%
87,7054,0.71,0,1.2761,"8,928k",855k,3,30/9/2013,31/12/2013,28/11/2013,81.30%
88,7054,-0.46,0,1.2762,"6,608k",-557k,2,30/6/2013,31/12/2013,30/8/2013,217%
89,7054,0.26,0,1.2886,"7,744k",310k,1,31/3/2013,31/12/2013,14/5/2013,51.20%
90,7054,-1.47,3,1.2794,"7,770k","-1,769k",4,31/12/2012,31/12/2012,28/2/2013,141%
91,7054,3.8,3,1.2869,"12,911k","4,563k",3,30/9/2012,31/12/2012,19/11/2012,119.90%
92,7054,0.4,3,1.2714,"8,684k",476k,2,30/6/2012,31/12/2012,24/8/2012,90.40%
93,7054,0.17,0,1.2674,"7,490k",205k,1,31/3/2012,31/12/2012,23/5/2012,84.20%
94,7054,-0.61,0,1.2657,"5,375k",-734k,4,31/12/2011,31/12/2011,29/2/2012,235.70%
95,7054,1.73,0,1.0199,"9,403k","2,075k",3,30/9/2011,31/12/2011,22/11/2011,107.70%
96,7054,4.12,2,1.0176,"12,992k","4,946k",2,30/6/2011,31/12/2011,26/8/2011,126.70%
97,7054,1.08,0,0.9869,"10,727k","1,301k",1,31/3/2011,31/12/2011,16/5/2011,104.60%
98,7054,0.45,0,0.9759,"8,691k",541k,4,31/12/2010,31/12/2010,28/2/2011,31.20%
99,7054,0.83,0,0.9874,"8,154k",999k,3,30/9/2010,31/12/2010,9/11/2010,117%
100,7054,1.82,2,0.9791,"10,376k","2,182k",2,30/6/2010,31/12/2010,25/8/2010,243.30%
101,7054,0.53,0,0.9599,"8,692k",636k,1,31/3/2010,31/12/2010,10/5/2010,449.50%
102,7054,-0.59,0,0.9562,"11,094k",-709k,4,31/12/2009,31/12/2009,25/2/2010,126.90%
103,7054,-4.89,0,0.9482,"12,190k","-5,865k",3,30/9/2009,31/12/2009,25/11/2009,428.40%
104,7054,-1.27,3.5,0.9705,"12,588k","-1,523k",2,30/6/2009,31/12/2009,28/8/2009,126.90%
105,7054,-0.15,0,1.0291,"9,138k",-182k,1,31/3/2009,31/12/2009,5/5/2009,109.70%
106,7054,2.2,0,1.0132,"14,073k","2,635k",4,31/12/2008,31/12/2008,27/2/2009,769.60%
107,7054,-0.93,0,0.9795,"18,308k","-1,110k",3,30/9/2008,31/12/2008,21/11/2008,116.20%
108,7054,4.71,5,0.9888,"29,680k","5,657k",2,30/6/2008,31/12/2008,26/8/2008,957.40%
109,7054,1.56,5,0.9786,"16,623k","1,872k",1,31/3/2008,31/12/2008,29/4/2008,20.80%
110,7054,0.87,0,0.9614,"14,358k","1,047k",4,31/12/2007,31/12/2007,29/2/2008,9.40%
111,7054,5.73,0,0.9516,"14,971k","6,871k",3,30/9/2007,31/12/2007,30/11/2007,362.70%
112,7054,0.45,0,0.8943,"9,023k",535k,2,30/6/2007,31/12/2007,16/8/2007,43.30%
113,7054,1.97,0,0.8899,"8,154k","2,363k",1,31/3/2007,31/12/2007,10/5/2007,56.90%
114,7054,0.04,3.5,0.8886,"10,010k",45k,4,31/12/2006,31/12/2006,28/2/2007,100.30%
115,7054,1.24,1.5,0.6538,"10,315k","1,485k",3,30/9/2006,31/12/2006,22/11/2006,296.90%
116,7054,0.79,0,0.644,"8,479k",944k,2,30/6/2006,31/12/2006,23/8/2006,30.60%
117,7054,1.25,0,0.628,"7,244k","1,506k",1,31/3/2006,31/12/2006,13/6/2006,366.30%
118,7054,-11.07,0,0.87,"7,558k","-13,286k",4,31/12/2005,31/12/2005,28/2/2006,3380.50%
119,7054,-0.6,0,0.73,"8,376k",-754k,3,30/9/2005,31/12/2005,30/11/2005,161.90%
120,7054,0.6,0,0.66,"5,629k",734k,2,30/6/2005,31/12/2005,26/8/2005,106.80%
121,7054,0.3,0,0.65,"5,862k",323k,1,31/3/2005,31/12/2005,31/5/2005,68.30%
122,7054,0.3,0,0.65,"8,820k",405k,4,31/12/2004,31/12/2004,28/2/2005,102%
123,7054,1,0,0.42,"15,384k","1,219k",3,30/9/2004,30/9/2004,22/12/2004,112.90%
124,7054,-9,0,0.41,"14,128k","-10,749k",2,30/6/2004,30/6/2004,26/8/2004,54.10%
125,7054,0.9,0,0.53,"13,276k","1,020k",1,31/3/2004,31/3/2004,29/5/2004,136.40%
126,7054,-15.5,0,0.54,"28,720k","-18,647k",4,31/12/2003,31/12/2003,28/2/2004,18.10%
127,7054,-7.9,0,0.69,"29,357k","-9,438k",3,30/9/2003,31/12/2003,20/11/2003,6.30%
128,7054,-5.8,0,0.77,"26,015k","-6,975k",2,30/6/2003,31/12/2003,28/8/2003,10668.20%
129,7054,-2.3,0,0.83,"11,751k","-2,799k",1,31/3/2003,31/12/2003,29/5/2003,239.70%
130,7054,-17.1,1.5,0.87,"38,549k","-20,467k",4,31/12/2002,31/12/2002,26/2/2003,757.50%
131,7054,-8.4,0,1.04,"33,267k","-10,075k",3,30/9/2002,31/12/2002,26/11/2002,212%
132,5238,-2.4,0,0.14,"1,148,075k","-99,269k",4,31/12/2018,31/12/2018,21/2/2019,217.60%
133,5238,-4.8,0,0.19,"1,077,422k","-197,469k",3,30/9/2018,31/12/2018,21/11/2018,356%
134,5238,-1.4,0,0.23,"1,053,620k","-57,457k",2,30/6/2018,31/12/2018,30/8/2018,221.10%
135,5238,1,0,0.24,"1,265,333k","41,498k",1,31/3/2018,31/12/2018,22/5/2018,301.50%
136,5238,2,0,0.23,"1,220,466k","84,414k",4,31/12/2017,31/12/2017,22/2/2018,116.40%
137,5238,-1,0,0.24,"1,124,465k","-43,302k",3,30/9/2017,31/12/2017,24/11/2017,492.80%
138,5238,1.1,0,0.24,"1,036,347k","47,438k",2,30/6/2017,31/12/2017,24/8/2017,4555.30%
139,5238,0.2,0,0.24,"1,180,727k","10,336k",1,31/3/2017,31/12/2017,25/5/2017,94.20%
140,5238,0.9,0,0.26,"1,170,295k","39,006k",4,31/12/2016,31/12/2016,22/2/2017,80.20%
141,5238,0.3,0,0.23,"982,402k","11,025k",3,30/9/2016,31/12/2016,23/11/2016,103.80%
142,5238,0,0,0.23,"883,163k","1,019k",2,30/6/2016,31/12/2016,23/8/2016,100.80%
143,5238,4.3,0,0.2,"970,674k","179,489k",1,31/3/2016,31/12/2016,24/5/2016,242.50%
144,5238,5.9,0,0.15,"853,945k","201,586k",4,31/12/2015,31/12/2015,26/2/2016,219.60%
145,5238,-9.1,0,0.12,"793,013k","-288,193k",3,30/9/2015,31/12/2015,25/11/2015,36.70%
146,5238,-6.1,0,0.2,"653,028k","-132,939k",2,30/6/2015,31/12/2015,19/8/2015,3.20%
147,5238,-5.3,0,0.24,"775,374k","-125,916k",1,31/3/2015,31/12/2015,27/5/2015,1016.20%
148,5238,-7.1,0,0.2941,"819,270k","-168,429k",4,31/12/2014,31/12/2014,24/2/2015,27%
149,5238,-8.9,0,0.37,"698,764k","-210,851k",3,30/9/2014,31/12/2014,19/11/2014,897.40%
150,5238,-5.4,0,0.46,"671,612k","-128,785k",2,30/6/2014,31/12/2014,19/8/2014,298.70%
151,5238,-0.5,0,0.51,"749,479k","-11,281k",1,31/3/2014,31/12/2014,19/5/2014,122.50%
152,5238,-5.5,0,0.52,"679,586k","-131,332k",4,31/12/2013,31/12/2013,25/2/2014,1031.70%
153,5238,7.4,0,0.57,"601,491k","26,441k",3,30/9/2013,31/12/2013,19/11/2013,45.90%
154,5238,-12.1,0,0.33,"491,136k","-32,303k",2,30/6/2013,31/12/2013,20/8/2013,58.40%
155,7086,-0.03,0,0.17,"1,413k",-70k,4,31/12/2018,31/12/2018,28/2/2019,206.10%
156,7086,0.01,0,0.17,"1,122k",4k,3,30/9/2018,31/12/2018,27/11/2018,500%
157,7086,-0.15,0,0.17,873k,-399k,2,30/6/2018,31/12/2018,28/8/2018,260.90%
158,7086,-0.2,0,0.17,549k,-522k,1,31/3/2018,31/12/2018,30/5/2018,68.40%
159,7086,0.03,0,0.17,"2,087k",66k,4,31/12/2017,31/12/2017,27/2/2018,118.40%
160,7086,0,0,0.17,"1,957k",-1k,3,30/9/2017,31/12/2017,24/11/2017,99.20%
161,7086,0.09,0,0.17,"3,506k",248k,2,30/6/2017,31/12/2017,30/8/2017,205.50%
162,7086,-0.12,0,0.17,"1,513k",-310k,1,31/3/2017,31/12/2017,29/5/2017,82.40%
163,7086,-0.14,0,0.17,"2,270k",-359k,4,31/12/2016,31/12/2016,28/2/2017,59.40%
164,7086,-0.05,0,0.17,"2,139k",-122k,3,30/9/2016,31/12/2016,30/11/2016,58.90%
165,7086,-0.09,0,0.18,"1,612k",-235k,2,30/6/2016,31/12/2016,30/8/2016,64.60%
166,7086,-0.06,0,0.18,"3,873k",-170k,1,31/3/2016,31/12/2016,27/5/2016,140.50%
167,7086,-0.34,0,0.18,"7,094k",-884k,4,31/12/2015,31/12/2015,29/2/2016,274%
168,7086,-0.11,0,0.18,"7,052k",-297k,3,30/9/2015,31/12/2015,30/11/2015,254.70%
169,7086,-0.25,0,0.18,"5,724k",-664k,2,30/6/2015,31/12/2015,27/8/2015,1009.60%
170,7086,0.16,0,0.18,"7,856k",420k,1,31/3/2015,31/12/2015,8/5/2015,179.70%
171,7086,0.19,0,0.18,"7,736k",508k,4,31/12/2014,31/12/2014,27/2/2015,175%
172,7086,0.07,0,0.18,"3,893k",192k,3,30/9/2014,31/12/2014,21/11/2014,240.10%
173,7086,0.03,0,0.18,"4,290k",73k,2,30/6/2014,31/12/2014,25/8/2014,231.80%
174,7086,-0.2,0,0.18,"2,830k",-527k,1,31/3/2014,31/12/2014,30/5/2014,116%
175,7086,-0.26,0,0.18,861k,-677k,4,31/12/2013,31/12/2013,28/2/2014,72.10%
176,7086,-0.05,0,0.18,"1,389k",-137k,3,30/9/2013,31/12/2013,29/11/2013,94.60%
177,7086,0.01,0,0.18,"1,507k",22k,2,30/6/2013,31/12/2013,29/8/2013,101.10%
178,7086,-0.09,0,0.18,"1,384k",-244k,1,31/3/2013,31/12/2013,30/5/2013,84.20%
179,7086,-0.92,0,0.19,"1,203k","-2,427k",4,31/12/2012,31/12/2012,28/2/2013,94%
180,7086,-0.95,0,0.19,"1,783k","-2,519k",3,30/9/2012,31/12/2012,27/11/2012,49.50%
181,7086,-0.75,0,0.22,"1,402k","-1,968k",2,30/6/2012,31/12/2012,29/8/2012,23.50%
182,7086,-0.66,0,0.22,"3,625k","-1,542k",1,31/3/2012,31/12/2012,30/5/2012,29.40%
183,7086,-26.24,0,0.28,"5,566k","-40,629k",4,31/12/2011,31/12/2011,28/2/2012,16.10%
184,7086,-3.22,0,0.56,"6,677k","-4,989k",3,30/9/2011,31/12/2011,30/11/2011,10.20%
185,7086,-1.66,0,0.57,"5,227k","-2,573k",2,30/6/2011,31/12/2011,26/8/2011,315.70%
186,7086,-1.41,0,0.52,"5,392k","-2,185k",1,31/3/2011,31/12/2011,27/5/2011,1.20%
187,7086,-31.35,0,0.53,"16,313k","-48,528k",4,31/12/2010,31/12/2010,28/2/2011,214.90%
188,7086,-3.59,0,0.84,"14,577k","-5,555k",3,30/9/2010,31/12/2010,15/11/2010,724.20%
189,7086,-0.4,0,0.89,"8,504k",-619k,2,30/6/2010,31/12/2010,24/8/2010,57.20%
190,7086,-1.43,0,0.9,"16,222k","-2,211k",1,31/3/2010,31/12/2010,31/5/2010,531.70%
191,7086,-9.99,0,0.95,"13,784k","-15,459k",4,31/12/2009,31/12/2009,25/2/2010,357.70%
192,7086,-0.44,0,1.08,"8,617k",-674k,3,30/9/2009,31/12/2009,13/11/2009,802.10%
193,7086,-0.94,0,1.08,"12,646k","-1,447k",2,30/6/2009,31/12/2009,13/8/2009,234.20%
194,7086,-0.23,0,1.11,"7,189k",-350k,1,31/3/2009,31/12/2009,26/5/2009,132.20%
195,7086,3.84,0,1.08,"28,733k","5,943k",4,31/12/2008,31/12/2008,27/2/2009,28.10%
196,7086,0.06,0,1.04,"17,293k",96k,3,30/9/2008,31/12/2008,14/11/2008,96.90%
197,7086,0.7,0,0.99,"17,204k","1,078k",2,30/6/2008,31/12/2008,22/8/2008,58.60%
198,7086,0.7,0,0.95,"11,796k","1,087k",1,31/3/2008,31/12/2008,24/4/2008,31.40%
199,7086,5.34,0,0.94,"17,165k","8,265k",4,31/12/2007,31/12/2007,20/2/2008,141.20%
200,7086,1.97,0,0.89,"17,749k","3,056k",3,30/9/2007,31/12/2007,15/11/2007,1500%
201,7086,1.68,0,0.87,"17,552k","2,602k",2,30/6/2007,31/12/2007,29/8/2007,0%
202,7086,0.53,0,0.84,"8,690k",827k,1,31/3/2007,31/12/2007,31/5/2007,0%
203,7086,-82.15,0,0.86,"19,906k","-18,809k",4,31/12/2006,31/12/2006,28/2/2007,0%
204,7086,0.07,0,1.98,"2,308k",191k,3,30/9/2006,31/12/2006,30/11/2006,0%
205,7086,-5.46,0,-0.76,"2,635k","-2,403k",4,30/6/2006,30/6/2006,24/8/2006,70.60%
206,7086,-4.95,0,-0.71,"1,608k","-2,178k",3,31/3/2006,30/6/2006,25/5/2006,5.90%
207,7086,-5.1,0,-0.66,"1,500k","-2,246k",2,31/12/2005,31/12/2005,27/2/2006,5.50%
208,7086,-5.74,0,-0.61,"2,110k","-2,527k",1,30/9/2005,30/6/2006,30/11/2005,1.70%
209,7086,-18.59,0,-0.49,"2,352k","-8,179k",4,30/6/2005,30/6/2005,29/8/2005,3.20%
210,7086,-4.67,0,-0.31,"2,335k","-2,056k",3,31/3/2005,30/6/2005,26/5/2005,57.30%
211,7086,-5.4,0,-0.2608,"1,523k","-2,377k",2,31/12/2004,30/6/2005,23/2/2005,32.30%
212,7086,-5.65,0,-0.21,"1,471k","-2,484k",1,30/9/2004,30/6/2005,13/12/2004,21.70%
213,7086,-19.2,0,-0.15,"1,983k","-8,450k",4,30/6/2004,30/6/2004,27/8/2004,3.80%
214,7086,-10.94,0,0.04,"2,900k","-4,815k",3,31/3/2004,30/6/2004,21/4/2004,89.60%
215,7086,-7.98,0,0.15,"2,655k","-3,513k",2,31/12/2003,30/6/2004,21/4/2004,6.60%
216,7086,-7.21,0,0.23,"2,999k","-3,172k",1,30/9/2003,30/6/2004,21/4/2004,7.50%
217,7086,-19.96,0,0.36,"3,258k","-8,782k",4,30/6/2003,30/6/2003,29/8/2003,70.50%
218,7086,-5.77,0,0.56,"3,867k","-2,539k",3,31/3/2003,30/6/2003,30/5/2003,5.40%
219,7086,-7.49,0,0.62,"2,790k","-3,295k",2,31/12/2002,30/6/2003,24/2/2003,11.70%
220,7086,-6.71,0,0.69,"4,875k","-2,951k",1,30/9/2002,30/6/2003,28/11/2002,2.70%
221,2488,9.6,0,3.6,"418,401k","148,932k",3,31/12/2018,31/3/2019,28/2/2019,21.50%
222,2488,9.1,8.5,3.59,"399,186k","140,522k",2,30/9/2018,31/3/2019,29/11/2018,14.40%
223,2488,8.8,0,3.48,"401,072k","136,367k",1,30/6/2018,31/3/2019,30/8/2018,1%
224,2488,7.3,6.8,3.53,"403,530k","112,871k",4,31/3/2018,31/3/2018,31/5/2018,3.80%
225,2488,8,0,3.44,"388,004k","122,554k",3,31/12/2017,31/3/2018,26/2/2018,5.50%
226,2488,8,0,3.43,"393,876k","122,799k",2,30/9/2017,31/3/2018,30/11/2017,7.40%
227,2488,8.8,0,3.33,"386,613k","135,004k",1,30/6/2017,31/3/2018,29/8/2017,1.90%
228,2488,7.7,7.5,3.3,"367,250k","117,388k",4,31/3/2017,31/3/2017,31/5/2017,9.60%
229,2488,8.5,0,3.22,"378,642k","129,682k",3,31/12/2016,31/3/2017,22/2/2017,4.40%
230,2488,8.7,8.5,3.27,"359,717k","132,579k",2,30/9/2016,31/3/2017,29/11/2016,1.50%
231,2488,8.7,0,3.16,"474,941k","132,474k",1,30/6/2016,31/3/2017,22/8/2016,8.60%
232,2488,8.5,6.5,3.13,"492,810k","129,848k",4,31/3/2016,31/3/2016,26/5/2016,39.20%
233,2488,8.9,0,3.02,"361,177k","135,598k",3,31/12/2015,31/3/2016,22/2/2016,7.30%
234,2488,8.8,8,2.98,"365,907k","134,662k",2,30/9/2015,31/3/2016,27/11/2015,25.30%
235,2488,8,0,2.92,"344,347k","121,930k",1,30/6/2015,31/3/2016,18/8/2015,6.80%
236,2488,6.1,6.4,2.9,"306,047k","93,269k",4,31/3/2015,31/3/2015,27/5/2015,41%
237,2488,8.3,0,2.8,"349,830k","126,373k",3,31/12/2014,31/3/2015,16/2/2015,7.40%
238,2488,11.9,9,2.82,"390,122k","180,328k",2,30/9/2014,31/3/2015,26/11/2014,37.40%
239,2488,8.6,0,2.68,"336,739k","130,810k",1,30/6/2014,31/3/2015,11/8/2014,5.10%
240,2488,10.4,10.5,2.69,"341,414k","158,013k",4,31/3/2014,31/3/2014,22/5/2014,13.80%
241,2488,9,0,2.6,"328,632k","136,509k",3,31/12/2013,31/3/2014,13/2/2014,2.80%
242,2488,8.6,0,2.67,"314,741k","131,235k",2,30/9/2013,31/3/2014,29/11/2013,7.50%
243,2488,9,7.5,2.68,"364,177k","137,791k",1,30/6/2013,31/3/2014,6/8/2013,10.60%
244,2488,9.1,0,2.6,"355,005k","138,824k",4,31/3/2013,31/3/2013,21/5/2013,13.30%
245,2488,8.7,10,2.62,"319,714k","132,742k",3,31/12/2012,31/3/2013,19/2/2013,5.20%
246,2488,9.3,0,2.52,"338,974k","141,946k",2,30/9/2012,31/3/2013,20/11/2012,14.30%
247,2488,8.2,6.6,2.51,"319,338k","124,532k",1,30/6/2012,31/3/2013,15/8/2012,4%
248,2488,7.1,0,2.37,"314,570k","107,552k",4,31/3/2012,31/3/2012,23/5/2012,26.60%
249,2488,7.9,7.7,2.39,"311,428k","121,292k",3,31/12/2011,31/3/2012,21/2/2012,9%
250,2488,7.9,0,2.32,"314,601k","120,954k",2,30/9/2011,31/3/2012,16/11/2011,18.30%
251,2488,8.5,5.6,2.27,"309,775k","129,557k",1,30/6/2011,31/3/2012,16/8/2011,17%
252,2488,5.5,0,2.17,"270,535k","84,934k",4,31/3/2011,31/3/2011,25/5/2011,9.90%
253,2488,7.3,3.7,2.15,"284,978k","111,121k",3,31/12/2010,31/3/2011,21/2/2011,11.20%
254,2488,6.7,0,2.09,"296,980k","102,273k",2,30/9/2010,31/3/2011,22/11/2010,31.10%
255,2488,7.2,3.3,2.04,"276,223k","110,736k",1,30/6/2010,31/3/2011,20/8/2010,139.60%
